EventID,X,Y,Energy (keV),ToA (ns)
3,127.50803206489022,127.16520389087799,139.81522999999999,4.83368
7,128.0,127.49331456720618,6.29503,1001.63437
7,126.04531772022098,128.2492143825874,133.92333,1001.63437
18,127.5240418118467,127.51390560658855,139.8551,2008.03247
19,127.5058734369079,127.47757989137297,140.28924,3008.03208
23,127.49733463710062,127.50064662650225,140.44428999999997,4009.63182
26,127.46773120425816,127.46063428698159,139.82408999999998,5003.23399
